symbol,side,entry_time,entry_price,exit_time,exit_price,reason,pnl,label
SOL/USDT,SHORT,"2025-07-09 08:02:10,924",152.840000,"2025-07-09 11:45:47,270",153.630000,SL,-0.005169,0
LDO/USDT,LONG,"2025-07-09 08:03:43,969",0.728700,"2025-07-09 10:07:40,842",0.724100,SL,-0.006313,0
ETH/USDT,SHORT,"2025-07-09 08:07:24,871",2623.700000,"2025-07-09 09:01:30,418",2610.310000,TP1,0.005103,1
DOGE/USDT,SHORT,"2025-07-09 08:10:09,296",0.171880,"2025-07-09 11:04:26,818",0.172810,SL,-0.005411,0
POPCAT/USDT,SHORT,"2025-07-09 08:16:51,310",0.294400,"2025-07-09 09:33:17,817",0.291400,TP1,0.010190,1
WIF/USDT,LONG,"2025-07-09 08:51:06,295",0.851800,"2025-07-09 09:33:16,552",0.846700,SL,-0.005987,0
ETH/USDT,LONG,"2025-07-09 09:17:19,064",2609.260000,"2025-07-09 11:12:17,210",2622.840000,TP1,0.005205,1
WIF/USDT,SHORT,"2025-07-09 09:41:10,770",0.847400,"2025-07-09 09:49:06,106",0.852200,SL,-0.005664,0
WIF/USDT,LONG,"2025-07-09 09:50:25,213",0.852000,"2025-07-09 09:55:41,542",0.856900,TP1,0.005751,1
OP/USDT,SHORT,"2025-07-09 10:22:13,851",0.548200,"2025-07-09 10:43:24,616",0.551000,SL,-0.005108,0
LDO/USDT,LONG,"2025-07-09 10:32:48,142",0.729000,"2025-07-09 11:11:14,649",0.733400,TP1,0.006036,1
OP/USDT,LONG,"2025-07-09 10:44:44,504",0.550600,"2025-07-09 11:12:32,745",0.553600,TP1,0.005449,1
LINK/USDT,LONG,"2025-07-09 10:55:17,275",14.009000,"2025-07-09 12:14:58,777",14.092000,TP1,0.005925,1
XRP/USDT,SHORT,"2025-07-09 11:04:24,276",2.354700,"2025-07-09 11:16:49,174",2.371900,SL,-0.007305,0
ZRX/USDT,LONG,"2025-07-09 11:07:12,882",0.227600,"2025-07-09 11:40:42,486",0.226300,SL,-0.005712,0
MEME/USDT,LONG,"2025-07-09 12:17:33,732",0.001574,"2025-07-09 12:25:28,745",0.001585,TP1,0.006989,1
SOL/USDT,SHORT,"2025-07-09 12:24:04,418",154.210000,"2025-07-09 14:04:32,973",153.350000,TP1,0.005577,1
WIF/USDT,SHORT,"2025-07-09 12:29:27,793",0.868300,"2025-07-09 13:56:43,451",0.860400,TP1,0.009098,1
XRP/USDT,SHORT,"2025-07-09 12:35:58,485",2.390600,"2025-07-09 13:42:18,328",2.376600,TP1,0.005856,1
LDO/USDT,SHORT,"2025-07-09 12:46:44,339",0.746500,"2025-07-09 14:19:18,180",0.753100,SL,-0.008841,0
ALGO/USDT,SHORT,"2025-07-09 13:13:02,623",0.188400,"2025-07-09 13:51:29,313",0.187200,TP1,0.006369,1
ETH/USDT,SHORT,"2025-07-09 13:26:14,540",2659.720000,"2025-07-09 13:49:57,407",2673.390000,SL,-0.005140,0
OP/USDT,SHORT,"2025-07-09 13:26:30,445",0.560000,"2025-07-09 14:25:52,190",0.564500,SL,-0.008036,0
LINK/USDT,SHORT,"2025-07-09 13:36:35,789",14.106000,"2025-07-09 14:04:41,861",14.032000,TP1,0.005246,1
DOGE/USDT,LONG,"2025-07-09 15:27:53,213",0.172830,"2025-07-09 16:19:23,740",0.173750,TP1,0.005323,1
BTC/USDT,LONG,"2025-07-09 15:31:42,838",108952.700000,"2025-07-15 13:36:38,986",118050.000000,SL,0.083498,1
MEME/USDT,LONG,"2025-07-09 15:33:11,054",0.001567,"2025-07-10 11:40:52,913",0.001654,SL,0.055520,1
ETH/USDT,SHORT,"2025-07-09 15:39:41,796",2646.600000,"2025-07-09 16:19:17,339",2661.600000,SL,-0.005668,0
WIF/USDT,LONG,"2025-07-09 15:57:01,510",0.857000,"2025-07-09 16:11:31,926",0.864400,TP1,0.008635,1
LDO/USDT,LONG,"2025-07-09 16:02:25,914",0.748600,"2025-07-10 13:18:49,004",0.780500,TP1,0.042613,1
POPCAT/USDT,LONG,"2025-07-09 16:04:57,698",0.297200,"2025-07-09 16:12:52,265",0.300500,TP1,0.011104,1
SOL/USDT,SHORT,"2025-07-09 16:08:47,431",153.770000,"2025-07-09 16:19:19,932",154.570000,SL,-0.005203,0
LINK/USDT,SHORT,"2025-07-09 16:14:12,586",13.999000,"2025-07-10 06:43:27,733",14.279000,SL,-0.020001,0
OP/USDT,SHORT,"2025-07-09 16:22:13,707",0.557800,"2025-07-10 06:43:31,761",0.590600,SL,-0.058802,0
ALGO/USDT,LONG,"2025-07-10 06:48:57,550",0.194300,"2025-07-10 07:44:13,294",0.195600,TP1,0.006691,1
XRP/USDT,LONG,"2025-07-10 06:59:43,056",2.419300,"2025-07-10 07:24:46,472",2.432500,TP1,0.005456,1
WIF/USDT,LONG,"2025-07-10 07:03:54,736",0.960000,"2025-07-10 08:35:11,623",0.967200,TP1,0.007500,1
CAKE/USDT,LONG,"2025-07-10 07:09:18,900",2.389700,"2025-07-10 10:03:38,361",2.375300,SL,-0.006026,0
SOL/USDT,SHORT,"2025-07-10 07:38:17,873",158.060000,"2025-07-10 08:44:35,595",159.080000,SL,-0.006453,0
BTC/USDT,SHORT,"2025-07-10 07:46:40,171",111193.300000,"2025-07-15 13:36:38,986",118050.000000,SL,-0.061665,0
POPCAT/USDT,SHORT,"2025-07-10 07:55:01,764",0.336300,"2025-07-10 08:37:55,685",0.339500,SL,-0.009515,0
LINK/USDT,SHORT,"2025-07-10 08:07:19,796",14.386000,"2025-07-10 08:37:57,101",14.462000,SL,-0.005283,0
BNB/USDT,LONG,"2025-07-10 08:20:03,046",673.050000,"2025-07-10 10:13:45,710",669.410000,SL,-0.005408,0
POPCAT/USDT,LONG,"2025-07-10 08:39:17,230",0.339600,"2025-07-10 09:08:01,210",0.344400,TP1,0.014134,1
LDO/USDT,SHORT,"2025-07-10 08:55:42,776",0.792000,"2025-07-10 13:18:49,004",0.780500,TP1,0.014520,1
XRP/USDT,SHORT,"2025-07-10 09:04:59,459",2.445200,"2025-07-10 11:46:14,342",2.457700,SL,-0.005112,0
SOL/USDT,SHORT,"2025-07-10 09:10:35,191",158.450000,"2025-07-10 11:04:05,824",157.250000,TP1,0.007573,1
LINK/USDT,SHORT,"2025-07-10 09:12:07,065",14.400000,"2025-07-10 12:03:56,754",14.292000,TP1,0.007500,1
OP/USDT,SHORT,"2025-07-10 09:22:45,048",0.592200,"2025-07-10 09:36:21,114",0.595300,SL,-0.005235,0
ETH/USDT,SHORT,"2025-07-10 09:49:40,948",2774.840000,"2025-07-10 13:45:43,871",2790.750000,SL,-0.005734,0
ZRX/USDT,LONG,"2025-07-10 09:54:16,627",0.235300,"2025-07-10 12:18:53,018",0.234100,SL,-0.005100,0
OP/USDT,LONG,"2025-07-10 09:59:45,388",0.591900,"2025-07-10 10:12:40,326",0.588700,SL,-0.005406,0
MEME/USDT,LONG,"2025-07-10 10:39:44,572",0.001664,"2025-07-10 11:40:52,913",0.001654,SL,-0.006010,0
BNB/USDT,LONG,"2025-07-10 11:06:47,603",670.220000,"2025-07-10 12:54:00,954",670.990000,TP2,0.001149,1
DOGE/USDT,LONG,"2025-07-10 11:21:52,685",0.181090,"2025-07-10 12:03:51,154",0.180160,SL,-0.005136,0
OP/USDT,LONG,"2025-07-10 11:22:02,750",0.592600,"2025-07-10 12:17:33,187",0.589300,SL,-0.005569,0
ALGO/USDT,SHORT,"2025-07-10 11:34:10,440",0.194800,"2025-07-10 14:06:23,447",0.192500,TP1,0.011807,1
CAKE/USDT,SHORT,"2025-07-10 11:43:32,697",2.381600,"2025-07-10 13:45:50,085",2.395300,SL,-0.005752,0
MEME/USDT,LONG,"2025-07-10 11:59:49,773",0.001665,"2025-07-10 12:09:17,298",0.001654,SL,-0.006607,0
WIF/USDT,LONG,"2025-07-10 12:07:57,650",0.970100,"2025-07-10 13:21:23,758",0.984300,TP1,0.014638,1
XRP/USDT,SHORT,"2025-07-10 12:14:38,155",2.444500,"2025-07-10 14:06:13,458",2.418100,TP1,0.010800,1
OP/USDT,LONG,"2025-07-10 12:28:24,832",0.590500,"2025-07-10 13:02:27,459",0.596700,TP1,0.010500,1
LDO/USDT,LONG,"2025-07-10 12:51:34,141",0.771600,"2025-07-10 13:18:49,004",0.780500,TP1,0.011534,1
ZRX/USDT,LONG,"2025-07-10 13:03:47,843",0.234900,"2025-07-10 14:25:28,537",0.233500,SL,-0.005960,0
DOGE/USDT,LONG,"2025-07-10 13:07:44,211",0.180320,"2025-07-10 14:02:11,057",0.179330,SL,-0.005490,0
CAKE/USDT,SHORT,"2025-07-10 13:59:26,518",2.383300,"2025-07-15 13:48:28,627",2.395500,SL,-0.005119,0
MEME/USDT,SHORT,"2025-07-10 13:59:29,534",0.001695,"2025-07-10 14:30:46,955",0.001674,TP1,0.012389,1
ETH/USDT,SHORT,"2025-07-10 14:27:55,557",2758.750000,"2025-07-10 14:53:10,546",2776.510000,SL,-0.006438,0
BTC/USDT,SHORT,"2025-07-15 14:34:36,095",117320.100000,"2025-07-15 14:51:42,291",116550.100000,TP1,0.006563,1
XRP/USDT,SHORT,"2025-07-15 14:34:42,597",2.897500,"2025-07-15 14:43:17,192",2.870500,TP1,0.009318,1
CAKE/USDT,LONG,"2025-07-15 14:34:43,923",2.390400,"2025-07-15 14:43:18,660",2.371600,SL,-0.007865,0
WIF/USDT,LONG,"2025-07-15 14:34:49,093",1.030200,"2025-07-15 14:51:55,145",1.007200,SL,-0.022326,0
POPCAT/USDT,SHORT,"2025-07-15 14:34:50,431",0.372800,"2025-07-15 14:43:25,850",0.364600,TP1,0.021996,1
LINK/USDT,LONG,"2025-07-15 14:34:51,764",15.555000,"2025-07-15 14:43:27,773",15.354000,SL,-0.012922,0
OP/USDT,SHORT,"2025-07-15 14:34:56,329",0.664900,"2025-07-15 14:43:32,226",0.656000,TP1,0.013385,1
LDO/USDT,SHORT,"2025-07-15 14:34:57,662",0.860100,"2025-07-15 14:43:34,048",0.845700,TP1,0.016742,1
BNB/USDT,SHORT,"2025-07-15 14:38:55,824",681.660000,"2025-07-15 14:55:56,294",678.160000,TP1,0.005135,1
SOL/USDT,LONG,"2025-07-15 14:40:23,293",160.290000,"2025-07-15 14:46:06,154",159.050000,SL,-0.007736,0
ETH/USDT,SHORT,"2025-07-15 14:44:37,272",3017.560000,"2025-07-15 14:53:07,098",2985.030000,TP1,0.010780,1
CAKE/USDT,SHORT,"2025-07-15 14:44:44,765",2.374200,"2025-07-15 14:53:13,416",2.355600,TP1,0.007834,1
LINK/USDT,SHORT,"2025-07-15 14:44:53,444",15.406000,"2025-07-15 14:53:21,212",15.265000,TP1,0.009152,1
SOL/USDT,SHORT,"2025-07-15 14:53:10,303",158.290000,"2025-07-16 06:42:21,222",163.600000,SL,-0.033546,0
WIF/USDT,SHORT,"2025-07-15 14:53:18,280",1.001500,"2025-07-15 15:31:02,730",1.024300,SL,-0.022766,0
LDO/USDT,LONG,"2025-07-15 15:17:52,757",0.838900,"2025-07-16 07:20:43,938",0.921700,TP1,0.098701,1
OP/USDT,SHORT,"2025-07-16 06:47:06,973",0.702600,"2025-07-16 07:18:14,043",0.707600,SL,-0.007116,0
CAKE/USDT,LONG,"2025-07-16 06:48:15,851",2.441100,"2025-07-16 09:24:51,890",2.454700,TP1,0.005571,1
LDO/USDT,LONG,"2025-07-16 06:49:10,248",0.914100,"2025-07-16 07:20:43,938",0.921700,TP1,0.008314,1
SOL/USDT,SHORT,"2025-07-16 06:51:34,353",163.650000,"2025-07-16 08:38:42,878",164.900000,SL,-0.007638,0
MEME/USDT,LONG,"2025-07-16 06:51:39,428",0.001889,"2025-07-16 09:43:21,773",0.001872,SL,-0.008999,0
DOGE/USDT,LONG,"2025-07-16 06:52:57,215",0.199240,"2025-07-16 09:01:09,357",0.200270,TP1,0.005170,1
XRP/USDT,LONG,"2025-07-16 06:54:13,760",2.934700,"2025-07-16 08:38:44,159",2.949900,TP1,0.005179,1
LINK/USDT,LONG,"2025-07-16 07:03:36,076",16.120000,"2025-07-16 07:21:57,949",16.206000,TP1,0.005335,1
ZRX/USDT,LONG,"2025-07-16 07:04:57,668",0.269400,"2025-07-16 09:34:14,289",0.271000,TP1,0.005939,1
POPCAT/USDT,LONG,"2025-07-16 07:21:56,659",0.372200,"2025-07-16 07:55:42,793",0.377000,TP2,0.012896,1
WIF/USDT,SHORT,"2025-07-16 07:31:08,905",1.081000,"2025-07-16 09:06:28,463",1.090600,SL,-0.008881,0
OP/USDT,SHORT,"2025-07-16 08:24:02,422",0.709400,"2025-07-16 10:57:41,835",0.703200,TP1,0.008740,1
LDO/USDT,SHORT,"2025-07-16 08:24:03,694",0.915700,"2025-07-16 09:26:22,368",0.908700,TP1,0.007644,1
LINK/USDT,LONG,"2025-07-16 09:38:09,043",16.433000,"2025-07-16 10:04:43,342",16.552000,TP1,0.007242,1
XRP/USDT,SHORT,"2025-07-16 09:44:37,043",2.946600,"2025-07-16 12:33:20,276",2.962800,SL,-0.005498,0
CAKE/USDT,SHORT,"2025-07-16 09:44:38,318",2.455600,"2025-07-16 09:52:33,423",2.472900,SL,-0.007045,0
MEME/USDT,LONG,"2025-07-16 09:48:38,714",0.001881,"2025-07-16 10:33:49,386",0.001864,SL,-0.009038,0
ALGO/USDT,SHORT,"2025-07-16 10:18:00,783",0.282700,"2025-07-16 12:21:34,478",0.280200,TP1,0.008843,1
WIF/USDT,SHORT,"2025-07-16 10:25:53,796",1.082700,"2025-07-16 11:56:43,520",1.108900,SL,-0.024199,0
CAKE/USDT,SHORT,"2025-07-16 10:29:47,503",2.447100,"2025-07-16 12:00:21,352",2.460800,SL,-0.005598,0
LDO/USDT,SHORT,"2025-07-16 10:40:37,806",0.908100,"2025-07-16 10:53:42,402",0.902200,TP1,0.006497,1
MEME/USDT,LONG,"2025-07-16 11:57:45,801",0.001892,"2025-07-16 12:08:18,282",0.001910,TP1,0.009514,1
ZRX/USDT,LONG,"2025-07-16 12:00:30,250",0.268200,"2025-07-16 12:05:46,519",0.269600,TP1,0.005220,1
WIF/USDT,LONG,"2025-07-16 12:04:22,354",1.107500,"2025-07-16 12:30:46,748",1.130500,TP2,0.020767,1
CAKE/USDT,LONG,"2025-07-16 12:08:15,735",2.466600,"2025-07-16 12:16:10,523",2.452900,SL,-0.005554,0
